titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,127
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,161
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,291
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,349
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,354
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,368
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,413
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,494
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,506
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,514
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,619
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,632
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,721
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,748
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,789
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,834
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,848
